index,file_path,digital_urdu,english
0,test/076_022_18.jpg,اندراج و تحریر شرعاً صرف مستحب اور پسندیدہ ہے وہ واجب نہیں کہ کسی شرعی,"Recording and writing are only recommended and desirable according to Sharia law, they are not obligatory for any Sharia law."
1,test/076_022_16.jpg,اور ہندوستان کی مسلم ریاستوں میں اس پر کم و بیش عمل درآمد بھی ہے، جہاں تک جبری,"And it is more or less implemented in the Muslim states of India, as far as forced marriage is concerned."
2,test/076_022_15.jpg,بلکہ اس کے نزدیک وہ پسندیدہ اور مستحسن بھی ہے، عملی پہلوکے لحاظ سے اسلامی سلطنتوں,"Rather, he is also beloved and desirable to him, in practical terms, the Islamic empires."
3,test/076_022_14.jpg,جہاں تک پہلی صورت کاتعلق ہے، شریعت اسلامیہ کی رو سے اس پر اعتراض جائز نہیں،,"As far as the first case is concerned, it is not permissible to object to it according to Islamic law."
4,test/076_022_13.jpg,ہے، اس لیے اس کولازمی طورپر جاری کردیاجائے، اس کانام جبر ی اندراج ہے،,"It is, therefore, mandatory, it should be issued, it is called compulsory registration,"
5,test/076_022_12.jpg,مقدمات سے نجات مل سکتی ہے، نکاح کے ثبوت اورک دین مہر کے تعین میں سہولت ہوتی,"Cases can be saved, proof of marriage and religious dowry would be facilitated"
6,test/076_022_11.jpg,دوسرا پہلو یہ ہے کہ چونکہ اس اندراج میں بہت سی مصلحتیں ہیں، اس سے بڑی حدتک,"The flip side is that since there are so many interests in this entry, it's much bigger"
7,test/076_022_10.jpg,جس قدر لوگ اس پر عمل کریں اتنا ہی فائدہ ہے، اس کانام اختیاری اندراج ہے،,"The more people follow it, the more it benefits, as it is optional enrollment."
8,test/076_022_9.jpg,ایک تویہ کہ اس قسم کااندراج مفید ونافع ہے، اوراس کا رواج دینا مناسب ہے،,"On the one hand, this type of entry is useful and beneficial, and it is appropriate to make it a practice."
9,test/076_022_7.jpg,کے لیے غیر ضروری تسلیم کرتے ہوئے اس حیثیت سے یہ مسئلہ زیر بحث آسکتاہے،,"This issue can be discussed in this capacity, recognizing it as unnecessary for"
10,test/076_022_6.jpg,اسلامی حکم کے خلاف ہوگا، ہاں نکاح وطلاق کے اندراج کوصحت نکاح وطلاق,"It would be against Islamic law, but registration of marriage and divorce is not valid."
11,test/076_022_5.jpg,جو نکاح وطلاق کی اس حیثیت پر اثر انداز ہو، قبول نہیں کیاجاسکتا، کیونکہ وہ,"Anything that affects this status of marriage and divorce cannot be accepted, because it"
12,test/076_022_4.jpg,نہیں ہوئی، ناجائز اور قابل انکار نہیں قرار دی جاسکتی، اس لیے کوئی ایسا قانون,"It has not been done, cannot be declared invalid and cannot be denied, therefore, no such law"
13,test/076_022_3.jpg,اورکوئی طلاق صرف اس وجہ سے کہ وہ لکھی نہیں گئی یا سرکاری رجسٹر میں درج,And no divorce is valid simply because it is not written or recorded in the official register.
14,test/076_022_2.jpg,نکاح صرف اس وجہ سے وہ لکھا نہیں گیا یا سرکاری رجسٹرمیں درج نہیں ہے,The marriage is not registered simply because it is not written down or is not registered in the official register.
15,test/076_022_1.jpg,زبانی الفاظ طلاق (بشرائط مقررہ ومعتبرہ) و قوع طلاق کے لیے کافی ہیں، کوئی,"Verbal words are sufficient for divorce (under established and valid conditions) and the decree of divorce, no"
16,test/076_022_0.jpg,نہیں، مذہبی طورپر زبانی ایجاب و قبول (بشرائط مقررہ و معتبرہ) نکاح کے لیے اور,"No, religiously, verbal offer and acceptance (conditions set and valid) are required for marriage and"
17,test/076_021_18.jpg,احکام کی بناء پر نکاح وطلاق کی صحت کے لیے کتاب اور رجسٹر میں اندراج کی ضرورت,Necessity of entry in the book and register for the validity of marriage and divorce according to the rules
18,test/076_021_16.jpg,اس وقت مسئلہ یہ تھا کہ نکاح وطلاق کا اندراج سرکاری طورپر ایک رجسٹرمیں,The problem at that time was that marriages and divorces were not officially registered in a register.
19,test/076_021_15.jpg,اس لیے اس سے ان کے خیالات کااندازہ کیاجاسکتاہے۔,"Therefore, their thoughts can be gauged from this."
20,test/076_021_13.jpg,میں قابل قبول نہیں سمجھی گئی توپھر مولاناکفایت اللہ اور مولاناقطب الدین کی تائید سے,"I was not considered acceptable, then with the support of Maulana Kifayatullah and Maulana Qutbuddin"
21,test/076_021_12.jpg,فرنگی محلی وغیرہ تھے، اس کمیٹی نے جو رپورٹ تیار کی وہ یوپی کی مجلس قانون ساز,The report prepared by this committee was presented to the UP Legislative Assembly.
22,test/076_021_11.jpg,کے ساتھ مولاناکفایت اللہ دہلوی،مولوی نعیم الدین مرادآبادی اور مولانا قطب الدین,"Along with Maulana Kifayatullah Dehlvi, Maulana Naeemuddin Moradabadi and Maulana Qutbuddin"
23,test/076_021_9.jpg,الہ آباد ہائی کورٹ)تھے، اس کے ممبروں میں ڈاکٹر شفاعت احمدخاں کے علاوہ,"Allahabad High Court), its members included Dr. Shafaat Ahmed Khan"
24,test/076_021_8.jpg,کو رجسٹرڈ کرنے کے لیے ایک قانون بناناتھا، اس کمیٹی کے صدر سرشاہ سلیمان (جج,"A law was to be made to register the committee, headed by Sir Shah Sulaiman (Judge"
25,test/076_021_7.jpg,تھا، اس کامقصد مسلمانوں کونکاح وطلاق کے معاملات پر غور اور نکاح وطلاق,The purpose of this was to encourage Muslims to consider the issues of marriage and divorce and to
26,test/076_021_6.jpg,الہ آباد یونیورسٹی) کی تحریک سے ایک کمیٹی بنائی گئی تھی، جس کانام ”مسلم میرج سب کمیٹی“,"Allahabad University) formed a committee called ""Muslim Marriage Sub-Committee""."
27,test/076_021_5.jpg,میں یوپی کی مجلس قانون ساز میں ڈاکٹرشفاعت احمدخاں (پروفیسر تاریخ,Dr. Shafaat Ahmed Khan (Professor of History) in the UP Legislative Assembly
28,test/076_021_4.jpg,میں بڑی ہمدردی سے دلچسپی لی، جیسا کہ حسبِ ذیل تفصیلات سے اندازہ ہوگا۔,"I took a very sympathetic interest, as will be seen from the details below."
29,test/076_021_3.jpg,انھوں نے قرآن مجید، حدیث اور فقہ کے اپنے گہرے مطالعہ سے ان کو حل کرنے,"He sought to resolve them through his in-depth study of the Quran, Hadith, and Fiqh."
30,test/076_021_2.jpg,اور وراثت کے مسائل میں بہت سے سوالات پیداہوتے رہے اس سلسلہ میں,And many questions kept arising in the matter of inheritance.
31,test/076_021_1.jpg,تو متعین کردیا ہے مگر جیسا کہ پہلے بھی کہا گیاہے، ہندوستان میں ان کے نکاح،طلاق,"So it has been determined, but as has been said before, in India, their marriage, divorce"
32,test/076_024_18.jpg,غیر مسلم حاکم کافیصلہ جائز نہیں ہوسکتاہے اور نہ ایسے مسلمان حاکموں سے اس کے,"The decision of a non-Muslim ruler cannot be valid, nor can it be accepted by such Muslim rulers."
33,test/076_024_17.jpg,اس مشکل اس لیے حل نہیں کرسکتی ہیں کہ ان مسائل میں شرع اسلامی کے رو سے,They cannot solve this problem because these issues are not regulated by Islamic law.
34,test/076_024_15.jpg,جائیں جو آنریری منصف کوحاصل ہیں، تاکہ وہ اپنے اختیارات سے ایسی مشکلوں,"Go to the Honorary Justice, so that he can use his powers to solve such problems."
35,test/076_024_14.jpg,مشکل یک آسان صورت یہ ہے کہ قاضیوں کوان معاملات کے لیے وہ اختیارات دیئے,The difficulty is that the judges were given the authority to handle these matters.
36,test/076_024_13.jpg,رجسٹری آفس بھی نئی ذمہ داریوں سے محفوظ رہیں گے(۲) اگر بالفعل یہ ممکن نہ ہو تواس,"Registry offices will also be protected from new responsibilities (2). If this is not actually possible,"
37,test/076_024_12.jpg,ساری مشکلات دور ہوجائیں گی، عدالتیں بھی بہت سی دقتوں سے محفوظ ہوجائیں گی،,"All difficulties will be removed, the courts will also be protected from many difficulties,"
38,test/076_024_11.jpg,قائم کردیاجائے جس کوان معاملات میں فیصلہ کرنے کاپورااختیار ہو، اس طرح تو,"should be established which has full authority to decide on these matters, thus"
39,test/076_024_10.jpg,نظام میں لاکر پورے صوبہ میں مسلمانوں کے نکاح وطلاق کے لیے ایک علیحدہ محکمہئ قضا,A separate judicial department for the marriage and divorce of Muslims throughout the province has been established in the system.
40,test/076_024_9.jpg,کیں کہ (۱) مسلمانوں کے ان مسائل کے لیے قاضی مقرر کیے جائیں اوران کوایک مرکزی,Because (1) Qazis should be appointed for these problems of Muslims and they should be a central one
